,uid,dateTime,deviceId,lat,long,pm1_0,pm2_5,pm10
0,9736d05c-dfe1-42d2-b88a-ebea1243e0d9,2020-11-06 00:09:17+05:30,00000000c37f0aa8,28.579155,77.228073,174.0,314.0,353.0
1,d1022e1a-051d-4ad8-9e94-f9dc58813365,2020-11-06 00:09:20+05:30,00000000c37f0aa8,28.579151,77.228081,173.0,314.0,352.0
2,d389fd3d-3fbc-4a29-bafb-067d094f5e56,2020-11-06 00:09:23+05:30,00000000c37f0aa8,28.5791474,77.228099,173.0,315.0,349.0
3,496451a5-5680-49cf-8b39-c6a1d329fa7b,2020-11-06 00:09:25+05:30,00000000c37f0aa8,28.579145,77.228111,174.0,313.0,350.0
4,8d66d3de-a40f-4f00-9c01-8865691bd04e,2020-11-06 00:09:28+05:30,00000000c37f0aa8,28.579143875,77.228117,173.0,319.0,354.0
5,498c5f69-7462-4d1f-aea5-fb74abe2dba0,2020-11-06 00:09:30+05:30,00000000c37f0aa8,28.579143125,77.228121,173.0,319.0,352.0
6,708b063f-8560-443d-8ce1-aa5b829b7b0a,2020-11-06 00:09:33+05:30,00000000c37f0aa8,28.579142,77.228127,173.0,316.0,351.0
7,f7ed7cb6-1b24-4758-8eef-905affe0b823,2020-11-06 00:09:36+05:30,00000000c37f0aa8,28.579134000000003,77.228157,174.0,320.0,355.0
8,457e7ba9-19d0-4117-acdc-ab65f82a5a8b,2020-11-06 00:09:44+05:30,00000000c37f0aa8,28.579126,77.228188,174.0,321.0,357.0
9,a64e62cf-2767-4490-afbd-7c19fe455b22,2020-11-06 00:09:47+05:30,00000000c37f0aa8,28.579124199999995,77.228206,171.0,321.0,356.0
10,8e9a885c-4cb6-42aa-80a2-94e82d417815,2020-11-06 00:09:49+05:30,00000000c37f0aa8,28.579123,77.228218,173.0,322.0,359.0
11,82e83529-739a-47b7-a5d9-0d6a12ddf8b4,2020-11-06 00:09:52+05:30,00000000c37f0aa8,28.579127125,77.22820375,173.0,320.0,357.0
12,4d6b26a5-40b1-46bc-bbbf-fe1d707d68af,2020-11-06 00:09:54+05:30,00000000c37f0aa8,28.579129875000003,77.22819425,173.0,319.0,358.0
13,afafc4fa-2994-432a-888a-1b88c6298d1c,2020-11-06 00:09:57+05:30,00000000c37f0aa8,28.579134000000003,77.22818000000002,171.0,317.0,359.0
14,7cc63f26-803a-478f-a5c4-43e76858ea44,2020-11-06 00:10:00+05:30,00000000c37f0aa8,28.579144199999998,77.22815720000001,170.0,320.0,362.0
